PC_ID,Innate,Current,Maximum,derivative
17,pain tolerance,2.06,2.06,0.17
17,perception,1.18,1.18,0.06
17,reflex,2.06,2.06,0.32
17,speed,2.30,2.30,0.14
17,strength,2.05,2.05,0.06
18,agility,1.99,1.99,0.25
18,analytical reasoning,0.59,0.59,0.02
18,bravery,1.39,1.39,0.35
18,endurance,1.07,1.07,0.03
18,honesty,0.54,0.54,0.15
18,intuition,1.31,1.31,0.05
18,loyalty,1.01,1.01,0.17
18,memory,1.54,1.54,0.63
18,obedience,-0.13,-0.13,0.30
18,pain tolerance,0.70,0.70,0.29
18,perception,1.69,1.69,0.14
18,reflex,0.65,0.65,0.04
18,speed,0.57,0.57,0.11
18,strength,-0.02,-0.02,0.20
19,agility,6.40,6.40,0.55
19,analytical reasoning,1.91,1.91,0.13
19,bravery,7.03,7.03,0.14
19,endurance,6.18,6.18,0.23
19,honesty,6.18,6.18,0.33
19,intuition,4.56,4.56,0.06
19,loyalty,6.16,6.16,0.06
19,memory,2.69,2.69,0.10
19,obedience,0.59,0.59,0.12
19,pain tolerance,4.19,4.19,0.11
19,perception,4.55,4.55,0.14
19,reflex,6.04,6.04,0.20
19,speed,6.41,6.41,0.25
19,strength,2.24,2.24,0.23
37,agility,-0.19,-0.19,0.09
37,analytical reasoning,2.36,2.36,0.10
37,bravery,2.09,2.09,0.02
37,endurance,-1.18,-1.18,0.01
37,honesty,2.01,2.01,0.03
37,intuition,0.34,0.34,0.12
37,loyalty,1.45,1.45,0.05
37,memory,0.17,0.17,0.13
37,obedience,0.75,0.75,0.06
37,pain tolerance,1.55,1.55,0.18
37,perception,1.93,1.93,0.42
37,reflex,3.43,3.43,0.05
37,speed,1.73,1.73,0.30
37,strength,-0.65,-0.65,0.03
38,agility,2.88,2.88,0.41
38,analytical reasoning,1.88,1.88,0.30
38,bravery,0.87,0.87,0.15
38,endurance,0.19,0.19,0.28
38,honesty,0.83,0.83,0.42
38,intuition,0.87,0.87,0.10
38,loyalty,1.36,1.36,0.02
38,memory,0.24,0.24,0.01
38,obedience,0.36,0.36,0.02
38,pain tolerance,2.53,2.53,0.18
38,perception,2.42,2.42,0.27
38,reflex,-0.98,-0.98,0.16
38,speed,1.06,1.06,0.02
38,strength,-0.53,-0.53,0.01
39,agility,0.65,0.65,0.35
39,analytical reasoning,-1.05,-1.05,0.05
39,bravery,3.07,3.07,0.01
39,endurance,-0.17,-0.17,0.08
39,honesty,0.33,0.33,0.05
39,intuition,-0.29,-0.29,0.01
39,loyalty,2.87,2.87,0.13
39,memory,2.22,2.22,0.16
39,obedience,0.35,0.35,0.01
39,pain tolerance,-0.71,-0.71,0.27
39,perception,-0.05,-0.05,0.70
39,reflex,-0.64,-0.64,0.04
39,speed,-0.34,-0.34,0.40
39,strength,2.20,2.20,0.02
40,agility,1.86,1.86,0.23
40,analytical reasoning,-0.70,-0.70,0.04
40,bravery,1.21,1.21,0.01
40,endurance,0.57,0.57,0.21
40,honesty,0.88,0.88,0.23
40,intuition,0.17,0.17,0.16
40,loyalty,1.07,1.07,0.56
40,memory,-0.51,-0.51,0.29
40,obedience,1.30,1.30,0.22
40,pain tolerance,0.01,0.01,0.13
40,perception,0.08,0.08,0.02
40,reflex,3.15,3.15,0.01
40,speed,2.79,2.79,0.13
40,strength,1.53,1.53,0.05
41,agility,1.44,1.44,0.04
41,analytical reasoning,-0.86,-0.86,0.10
41,bravery,-0.84,-0.84,0.05
41,endurance,1.71,1.71,0.01
41,honesty,-0.80,-0.80,0.13
41,intuition,-1.90,-1.90,0.49
41,loyalty,-0.84,-0.84,0.34
41,memory,1.05,1.05,0.36
41,obedience,3.15,3.15,0.13
41,pain tolerance,0.74,0.74,0.27
41,perception,-0.34,-0.34,0.44
41,reflex,0.53,0.53,0.02
41,speed,0.59,0.59,0.05
41,strength,1.00,1.00,0.53
43,agility,1.47,1.47,0.09
43,analytical reasoning,0.86,0.86,0.13
43,bravery,2.26,2.26,0.47
43,endurance,2.42,2.42,0.70
43,honesty,1.14,1.14,0.22
43,intuition,1.47,1.47,0.04
43,loyalty,2.29,2.29,0.11
43,memory,0.03,0.03,0.43
43,obedience,4.67,4.67,0.98
43,pain tolerance,1.71,1.71,0.50
43,perception,1.57,1.57,0.08
43,reflex,1.44,1.44,0.32
43,speed,-0.30,-0.30,0.46
43,strength,1.37,1.37,0.22
44,agility,1.61,1.61,0.72
44,analytical reasoning,0.05,0.05,0.03
44,bravery,-0.41,-0.41,0.16
44,endurance,0.92,0.92,0.18
44,honesty,-0.79,-0.79,0.03
44,intuition,1.66,1.66,0.13
44,loyalty,-0.69,-0.69,0.05
44,memory,0.55,0.55,0.13
44,obedience,0.48,0.48,0.01
44,pain tolerance,0.06,0.06,0.11
44,perception,1.92,1.92,0.15
44,reflex,1.23,1.23,0.19
44,speed,0.33,0.33,0.13
44,strength,0.20,0.20,0.02
45,agility,2.48,2.48,0.11
45,analytical reasoning,3.22,3.22,0.05
45,bravery,1.17,1.17,0.01
45,endurance,1.57,1.57,0.03
45,honesty,2.52,2.52,0.01
45,intuition,4.36,4.36,0.25
45,loyalty,0.71,0.71,0.39
45,memory,5.28,5.28,0.29
45,obedience,-0.63,-0.63,0.15
45,pain tolerance,2.39,2.39,0.11
45,perception,5.65,5.65,0.33
45,reflex,1.66,1.66,0.34
45,speed,1.15,1.15,0.04
45,strength,1.51,1.51,0.35
46,agility,1.04,1.04,0.09
46,analytical reasoning,1.00,1.00,0.13
46,bravery,1.21,1.21,0.11
46,endurance,0.91,0.91,0.63
46,honesty,0.03,0.03,0.06
46,intuition,0.05,0.05,0.08
46,loyalty,0.58,0.58,0.03
46,memory,0.43,0.43,0.14
46,obedience,-1.02,-1.02,0.12
46,pain tolerance,1.12,1.12,0.26
46,perception,1.46,1.46,0.04
46,reflex,-1.67,-1.67,0.11
46,speed,-1.36,-1.36,0.06
46,strength,-0.95,-0.95,0.18
47,agility,0.72,0.72,0.01
47,analytical reasoning,0.82,0.82,0.04
47,bravery,-0.06,-0.06,0.74
47,endurance,-0.94,-0.94,0.27
47,honesty,-0.24,-0.24,0.11
47,intuition,-0.27,-0.27,0.22
47,loyalty,0.66,0.66,0.23
47,memory,-0.30,-0.30,0.31
47,obedience,1.24,1.24,0.04
47,pain tolerance,-0.24,-0.24,0.20
47,perception,0.78,0.78,0.40
47,reflex,0.67,0.67,0.03
47,speed,-0.19,-0.19,0.25
47,strength,0.37,0.37,0.39
1075,agility,2.10,2.10,0.10
1075,analytical reasoning,0.75,0.75,0.20
1075,bravery,2.25,2.25,0.30
1075,endurance,1.89,1.89,0.15
1075,honesty,2.00,2.00,0.04
1075,intuition,2.25,2.25,0.07
1075,loyalty,2.10,2.10,0.15
1075,memory,2.45,2.45,0.05
1075,obedience,1.55,1.55,0.11
1075,pain tolerance,3.15,3.15,0.20
1075,perception,3.60,3.60,0.02
1075,reflex,1.85,1.85,0.15
1075,speed,2.40,2.40,0.20
1075,strength,2.95,2.95,0.50
1076,agility,2.53,2.53,0.03
1076,analytical reasoning,0.99,0.99,0.34
1076,bravery,1.32,1.32,0.23
1076,endurance,1.81,1.81,0.16
1076,honesty,-0.03,-0.03,0.46
1076,intuition,1.29,1.29,0.02
1076,loyalty,0.06,0.06,0.02
1076,memory,1.28,1.28,0.28
1076,obedience,2.08,2.08,0.05
1076,pain tolerance,1.70,1.70,0.47
1076,perception,0.93,0.93,0.10
1076,reflex,1.43,1.43,0.51
1076,speed,1.32,1.32,0.44
1076,strength,1.10,1.10,0.37
1077,agility,1.06,1.06,0.35
1077,analytical reasoning,1.90,1.90,0.03
1077,bravery,2.50,2.50,0.06
1077,endurance,1.93,1.93,0.25
1077,honesty,1.04,1.04,0.06
1077,intuition,0.63,0.63,0.02
1077,loyalty,1.22,1.22,0.03
1077,memory,0.87,0.87,0.03
1077,obedience,2.83,2.83,0.06
1077,pain tolerance,0.07,0.07,0.01
1077,perception,1.91,1.91,0.01
1077,reflex,-1.25,-1.25,0.43
1077,speed,-0.24,-0.24,0.01
1077,strength,-0.13,-0.13,0.16
1078,agility,-0.57,-0.57,0.01
1078,analytical reasoning,0.10,0.10,0.46
1078,bravery,-1.25,-1.25,0.20
1078,endurance,0.41,0.41,0.05
1078,honesty,2.37,2.37,0.13
1078,intuition,0.51,0.51,0.19
1078,loyalty,1.89,1.89,0.30
1078,memory,-0.82,-0.82,0.53
1078,obedience,0.05,0.05,0.23
1078,pain tolerance,0.11,0.11,0.05
1078,perception,-0.40,-0.40,0.39
1078,reflex,-0.10,-0.10,0.35
1078,speed,2.46,2.46,0.03
1078,strength,2.62,2.62,0.06
1079,agility,-0.39,-0.39,0.01
1079,analytical reasoning,1.37,1.37,0.10
1079,bravery,0.89,0.89,0.12
1079,endurance,-0.04,-0.04,0.48
1079,honesty,0.48,0.48,0.25
1079,intuition,1.83,1.83,0.43
1079,loyalty,1.38,1.38,0.01
1079,memory,1.07,1.07,0.15
1079,obedience,-1.24,-1.24,0.30
1079,pain tolerance,1.33,1.33,0.01
1079,perception,1.05,1.05,0.14
1079,reflex,-0.43,-0.43,0.16
1079,speed,1.65,1.65,0.12
1079,strength,-0.27,-0.27,0.01
1084,agility,1.63,1.63,0.12
1084,analytical reasoning,0.95,0.95,0.01
1084,bravery,2.09,2.09,0.05
1084,endurance,0.67,0.67,0.08
1084,honesty,0.74,0.74,0.17
1084,intuition,-0.07,-0.07,0.03
1084,loyalty,2.67,2.67,0.23
1084,memory,0.31,0.31,0.09
1084,obedience,1.62,1.62,0.13
1084,pain tolerance,2.09,2.09,0.02
1084,perception,2.08,2.08,0.03
1084,reflex,1.31,1.31,0.21
1084,speed,-0.38,-0.38,0.36
1084,strength,-0.41,-0.41,0.24
1086,agility,2.11,2.11,0.14
1086,analytical reasoning,0.12,0.12,0.06
1086,bravery,-0.15,-0.15,0.02
1086,endurance,0.73,0.73,0.04
1086,honesty,-0.49,-0.49,0.07
1086,intuition,0.33,0.33,0.18
1086,loyalty,1.17,1.17,0.21
1086,memory,-0.02,-0.02,0.20
1086,obedience,1.70,1.70,0.17
1086,pain tolerance,-0.69,-0.69,0.08
1086,perception,1.30,1.30,0.19
1086,reflex,0.69,0.69,0.22
1086,speed,0.61,0.61,0.28
1086,strength,2.89,2.89,0.42
1089,agility,-0.10,-0.10,0.39
1089,analytical reasoning,0.56,0.56,0.02
1089,bravery,-0.18,-0.18,0.26
1089,endurance,1.89,1.89,0.44
1089,honesty,0.43,0.43,0.01
1089,intuition,1.88,1.88,0.05
1089,loyalty,2.25,2.25,0.19
1089,memory,-0.18,-0.18,0.24
1089,obedience,0.25,0.25,0.41
1089,pain tolerance,1.01,1.01,0.07
1089,perception,-0.26,-0.26,0.02
1089,reflex,0.85,0.85,0.14
1089,speed,1.74,1.74,0.01
1089,strength,0.22,0.22,0.11
1091,agility,1.07,1.07,0.59
1091,analytical reasoning,2.13,2.13,0.18
1091,bravery,1.66,1.66,0.06
1091,endurance,-0.77,-0.77,0.56
1091,honesty,1.38,1.38,0.06
1091,intuition,-0.84,-0.84,0.04
1091,loyalty,0.50,0.50,0.04
1091,memory,2.58,2.58,0.11
1091,obedience,0.53,0.53,0.01
1091,pain tolerance,1.22,1.22,0.02
1091,perception,0.24,0.24,0.01
1091,reflex,1.60,1.60,0.04
1091,speed,0.93,0.93,0.30
1091,strength,-0.13,-0.13,0.46
1093,agility,0.06,0.06,0.32
1093,analytical reasoning,1.45,1.45,0.46
1093,bravery,2.03,2.03,0.02
1093,endurance,0.38,0.38,0.04
1093,honesty,-0.17,-0.17,0.09
1093,intuition,0.64,0.64,0.04
1093,loyalty,1.61,1.61,0.02
1093,memory,0.83,0.83,0.22
1093,obedience,1.68,1.68,0.15
1093,pain tolerance,1.06,1.06,0.05
1093,perception,3.21,3.21,0.01
1093,reflex,1.54,1.54,0.05
1093,speed,1.84,1.84,0.20
1093,strength,0.29,0.29,0.02
1094,agility,2.54,2.54,0.04
1094,analytical reasoning,1.20,1.20,0.03
1094,bravery,0.82,0.82,0.10
1094,endurance,1.53,1.53,0.09
1094,honesty,-1.12,-1.12,0.13
1094,intuition,0.06,0.06,0.33
1094,loyalty,-0.09,-0.09,0.09
1094,memory,0.21,0.21,0.06
1094,obedience,1.71,1.71,0.06
1094,pain tolerance,-0.69,-0.69,0.04
1094,perception,0.47,0.47,0.04
1094,reflex,0.85,0.85,0.04
1094,speed,-0.57,-0.57,0.13
1094,strength,0.45,0.45,0.29
1096,agility,1.53,1.53,0.02
1096,analytical reasoning,0.48,0.48,0.02
1096,bravery,0.79,0.79,0.08
1096,endurance,1.56,1.56,0.01
1096,honesty,0.23,0.23,0.35
1096,intuition,1.95,1.95,0.01
1096,loyalty,2.99,2.99,0.23
1096,memory,2.39,2.39,0.02
1096,obedience,1.61,1.61,0.01
1096,pain tolerance,0.25,0.25,0.02
1096,perception,0.81,0.81,0.18
1096,reflex,0.05,0.05,0.16
1096,speed,1.15,1.15,0.01
1096,strength,1.59,1.59,0.22
1098,agility,0.09,0.09,0.16
1098,analytical reasoning,0.92,0.92,0.72
1098,bravery,1.51,1.51,0.01
1098,endurance,0.64,0.64,0.08
1098,honesty,1.05,1.05,0.07
1098,intuition,0.41,0.41,0.08
1098,loyalty,0.98,0.98,0.45
1098,memory,0.28,0.28,0.03
1098,obedience,0.01,0.01,0.02
1098,pain tolerance,0.72,0.72,0.01
1098,perception,2.86,2.86,0.08
1098,reflex,0.64,0.64,0.09
1098,speed,2.91,2.91,0.06
1098,strength,1.01,1.01,0.13
1099,agility,2.44,2.44,0.10
1099,analytical reasoning,-0.01,-0.01,0.19
1099,bravery,1.13,1.13,0.06
1099,endurance,0.16,0.16,0.02
1099,honesty,0.86,0.86,0.10
1099,intuition,2.73,2.73,0.05
1099,loyalty,2.67,2.67,0.05
1099,memory,1.36,1.36,0.07
1099,obedience,2.12,2.12,0.06
1099,pain tolerance,1.50,1.50,0.04
1099,perception,-0.27,-0.27,0.09
1099,reflex,1.49,1.49,0.07
1099,speed,0.10,0.10,0.08
1099,strength,2.02,2.02,0.47
1100,agility,2.69,2.69,0.33
1100,analytical reasoning,1.43,1.43,0.35
1100,bravery,3.50,3.50,0.04
1100,endurance,-0.16,-0.16,0.14
1100,honesty,0.98,0.98,0.23
1100,intuition,2.30,2.30,0.18
1100,loyalty,-0.98,-0.98,0.31
1100,memory,2.76,2.76,0.81
1100,obedience,0.36,0.36,0.22
1100,pain tolerance,1.27,1.27,0.01
1100,perception,1.02,1.02,0.02
1100,reflex,3.07,3.07,0.03
1100,speed,1.68,1.68,0.09
1100,strength,1.89,1.89,0.11
1103,agility,0.50,0.50,0.03
1103,analytical reasoning,1.19,1.19,0.08
1103,bravery,1.39,1.39,0.07
1103,endurance,1.49,1.49,0.19
1103,honesty,3.00,3.00,0.07
1103,intuition,1.44,1.44,0.14
1103,loyalty,0.43,0.43,0.01
1103,memory,1.42,1.42,0.25
1103,obedience,1.35,1.35,0.01
1103,pain tolerance,1.26,1.26,0.11
1103,perception,0.37,0.37,0.16
1103,reflex,-0.84,-0.84,0.12
1103,speed,0.98,0.98,0.09
1103,strength,-0.35,-0.35,0.10
1104,agility,-0.16,-0.16,0.05
1104,analytical reasoning,0.28,0.28,0.02
1104,bravery,-0.12,-0.12,0.06
1104,endurance,1.11,1.11,0.76
1104,honesty,1.30,1.30,0.06
1104,intuition,-0.18,-0.18,0.30
1104,loyalty,-0.03,-0.03,0.04
1104,memory,1.17,1.17,0.01
1104,obedience,1.17,1.17,0.07
1104,pain tolerance,0.78,0.78,0.28
1104,perception,1.90,1.90,0.08
1104,reflex,2.34,2.34,0.18
1104,speed,1.29,1.29,0.14
1104,strength,1.81,1.81,0.04
1105,agility,-0.14,-0.14,0.40
1105,analytical reasoning,3.45,3.45,0.01
1105,bravery,1.21,1.21,0.03
1105,endurance,1.10,1.10,0.15
1105,honesty,1.40,1.40,0.25
1105,intuition,2.42,2.42,0.07
1105,loyalty,0.67,0.67,0.05
1105,memory,0.73,0.73,0.13
1105,obedience,2.03,2.03,0.07
1105,pain tolerance,1.31,1.31,0.13
1105,perception,-0.56,-0.56,0.23
1105,reflex,1.12,1.12,0.15
1105,speed,1.40,1.40,0.09
1105,strength,-0.21,-0.21,0.01
1111,agility,0.56,0.56,0.17
1111,analytical reasoning,1.09,1.09,0.14
1111,bravery,-0.45,-0.45,0.04
1111,endurance,-0.45,-0.45,0.46
1111,honesty,1.00,1.00,0.16
1111,intuition,0.76,0.76,0.19
1111,loyalty,2.05,2.05,0.11
1111,memory,-0.47,-0.47,0.06
1111,obedience,1.38,1.38,0.05
1111,pain tolerance,0.71,0.71,0.06
1111,perception,0.91,0.91,0.05
1111,reflex,1.45,1.45,0.01
1111,speed,0.73,0.73,0.30
1111,strength,0.47,0.47,0.13
1113,agility,1.03,1.03,0.47
1113,analytical reasoning,1.94,1.94,0.19
1113,bravery,0.43,0.43,0.08
1113,endurance,-0.14,-0.14,0.09
1113,honesty,0.48,0.48,0.12
1113,intuition,0.11,0.11,0.04
1113,loyalty,-0.01,-0.01,0.33
1113,memory,3.05,3.05,0.62
1113,obedience,0.90,0.90,1.13
1113,pain tolerance,1.39,1.39,0.12
1113,perception,1.74,1.74,0.20
1113,reflex,-0.04,-0.04,0.09
1113,speed,0.04,0.04,0.04
1113,strength,1.84,1.84,0.01
1116,agility,0.41,0.41,0.06
1116,analytical reasoning,1.54,1.54,0.07
1116,bravery,0.93,0.93,0.31
1116,endurance,0.58,0.58,0.18
1116,honesty,0.48,0.48,0.15
1116,intuition,0.23,0.23,0.57
1116,loyalty,0.54,0.54,0.04
1116,memory,1.77,1.77,0.25
1116,obedience,-0.01,-0.01,0.26
1116,pain tolerance,0.29,0.29,0.28
1116,perception,-0.67,-0.67,0.12
1116,reflex,1.82,1.82,0.01
1116,speed,2.86,2.86,0.23
1116,strength,1.19,1.19,0.19
1118,agility,-0.94,-0.94,0.09
1118,analytical reasoning,-0.87,-0.87,0.27
1118,bravery,0.63,0.63,0.02
1118,endurance,0.59,0.59,0.01
1118,honesty,2.39,2.39,0.03
1118,intuition,1.61,1.61,0.10
1118,loyalty,0.68,0.68,0.38
1118,memory,0.05,0.05,0.11
1118,obedience,1.55,1.55,0.46
1118,pain tolerance,0.61,0.61,0.08
1118,perception,0.73,0.73,0.17
1118,reflex,-0.57,-0.57,0.13
1118,speed,0.39,0.39,0.02
1118,strength,0.21,0.21,0.04
1123,agility,1.90,1.90,0.36
1123,analytical reasoning,2.47,2.47,0.20
1123,bravery,2.36,2.36,0.01
1123,endurance,1.73,1.73,0.01
1123,honesty,0.05,0.05,0.30
1123,intuition,0.37,0.37,0.14
1123,loyalty,1.37,1.37,0.01
1123,memory,1.14,1.14,0.11
1123,obedience,-0.08,-0.08,0.31
1123,pain tolerance,0.57,0.57,0.01
1123,perception,1.52,1.52,0.07
1123,reflex,0.55,0.55,0.38
1123,speed,0.36,0.36,0.17
1123,strength,0.53,0.53,0.04
1125,agility,2.46,2.46,0.05
1125,analytical reasoning,0.33,0.33,0.32
1125,bravery,0.96,0.96,0.01
1125,endurance,2.50,2.50,0.14
1125,honesty,0.42,0.42,0.29
1125,intuition,2.72,2.72,0.10
1125,loyalty,0.89,0.89,0.25
1125,memory,1.72,1.72,0.39
1125,obedience,1.83,1.83,0.38
1125,pain tolerance,1.26,1.26,0.09
1125,perception,1.78,1.78,0.01
1125,reflex,1.80,1.80,0.31
1125,speed,1.18,1.18,0.07
1125,strength,0.89,0.89,0.21
1128,agility,0.78,0.78,0.29
1128,analytical reasoning,2.16,2.16,0.24
1128,bravery,2.48,2.48,0.01
1128,endurance,0.09,0.09,0.25
1128,honesty,1.89,1.89,0.14
1128,intuition,1.50,1.50,0.04
1128,loyalty,0.97,0.97,0.09
1128,memory,0.02,0.02,0.38
1128,obedience,1.41,1.41,0.10
1128,pain tolerance,0.91,0.91,0.39
1128,perception,1.36,1.36,0.28
1128,reflex,1.80,1.80,0.21
1128,speed,-0.86,-0.86,0.07
1128,strength,0.90,0.90,0.21
1130,agility,1.59,1.59,0.12
1130,analytical reasoning,-0.10,-0.10,0.14
1130,bravery,-0.20,-0.20,0.22
1130,endurance,0.40,0.40,0.05
1130,honesty,-1.42,-1.42,0.08
1130,intuition,0.87,0.87,0.13
1130,loyalty,-0.36,-0.36,0.11
1130,memory,0.94,0.94,0.03
1130,obedience,1.06,1.06,0.08
1130,pain tolerance,1.59,1.59,0.16
1130,perception,1.41,1.41,0.17
1130,reflex,-1.06,-1.06,0.42
1130,speed,-1.02,-1.02,0.39
1130,strength,0.97,0.97,0.05
1131,agility,0.83,0.83,0.37
1131,analytical reasoning,1.19,1.19,0.21
1131,bravery,2.69,2.69,0.04
1131,endurance,-0.02,-0.02,0.13
1131,honesty,2.84,2.84,0.10
1131,intuition,1.99,1.99,0.01
1131,loyalty,0.96,0.96,0.16
1131,memory,1.68,1.68,0.38
1131,obedience,0.83,0.83,0.81
1131,pain tolerance,2.00,2.00,0.01
1131,perception,3.57,3.57,0.30
1131,reflex,1.43,1.43,0.08
1131,speed,1.80,1.80,0.54
1131,strength,1.64,1.64,0.17
1133,agility,0.99,0.99,0.35
1133,analytical reasoning,1.62,1.62,0.09
1133,bravery,1.12,1.12,0.30
1133,endurance,0.77,0.77,0.33
